t,y
1,501
2,488
3,504
4,578
5,545
6,632
7,728
8,725
9,585
10,542
11,480
12,530
13,518
14,489
15,528
16,599
17,572
18,659
19,739
20,758
21,602
22,587
23,497
24,558
25,555
26,523
27,532
28,623
29,598
30,683
31,774
32,780
33,609
34,604
35,531
36,592
37,578
38,543
39,565
40,648
41,615
42,697
43,785
44,830
45,645
46,643
47,551
48,606
49,585
50,553
51,576
52,665
53,656
54,720
55,826
56,838
57,652
58,661
59,584
60,644
61,623
62,553
63,599
64,657
65,680
66,759
67,878
68,881
69,705
70,684
71,577
72,656
73,645
74,593
75,617
76,686
77,679
78,773
79,906
80,934
81,713
82,710
83,600
84,676
85,645
86,602
87,601
88,709
89,706
90,817
91,930
92,983
93,745
94,735
95,620
96,698
97,665
98,626
99,649
100,740
101,729
102,824
103,937
104,994
105,781
106,759
107,643
108,728
109,691
110,649
111,656
112,735
113,748
114,837
115,995
116,1040
117,809
118,793
119,692
120,763
121,723
122,655
123,658
124,761
125,768
126,885
127,1067
128,1038
129,812
130,790
131,692
132,782
133,758
134,709
135,715
136,755
137,794
138,893
139,1046
140,1075
141,812
142,822
143,714
144,802
145,748
146,731
147,748
148,827
149,788
150,937
151,1076
152,1125
153,840
154,864
155,717
156,813
157,811
158,732
159,745
160,844
161,833
162,835
163,1110
164,1124
165,868
166,860
167,762
168,877
